"region","year","sex","country","number"
"AT13","2012","MALE","PER",273
"AT13","2012","MALE","PRY",30
"AT13","2012","MALE","SLV",12
"AT13","2012","MALE","URY",56
"AT13","2012","MALE","VEN",153
"AT13","2012","FEMALE","ARG",303
"AT13","2012","FEMALE","BOL",138
"AT13","2012","FEMALE","BRA",934
"AT13","2012","FEMALE","CHL",372
"AT13","2012","FEMALE","COL",459
"AT13","2012","FEMALE","CRI",34
"AT13","2012","FEMALE","CUB",227
"AT13","2012","FEMALE","DOM",294
"AT13","2012","FEMALE","ECU",178
"AT13","2012","FEMALE","GTM",57
"AT13","2012","FEMALE","HND",17
"AT13","2012","FEMALE","HTI",21
"AT13","2012","FEMALE","MEX",350
"AT13","2012","FEMALE","NIC",46
"AT13","2012","FEMALE","PAN",7
"AT13","2012","FEMALE","PER",526
"AT13","2012","FEMALE","PRY",51
"AT13","2012","FEMALE","SLV",25
"AT13","2012","FEMALE","URY",69
"AT13","2012","FEMALE","VEN",224
"AT13","2013","MALE","ARG",316
"AT13","2013","MALE","BOL",103
"AT13","2013","MALE","BRA",566
"AT13","2013","MALE","CHL",342
"AT13","2013","MALE","COL",387
"AT13","2013","MALE","CRI",33
"AT13","2013","MALE","CUB",142
"AT13","2013","MALE","DOM",178
"AT13","2013","MALE","ECU",124
"AT13","2013","MALE","GTM",79
"AT13","2013","MALE","HND",11
"AT13","2013","MALE","HTI",17
"AT13","2013","MALE","MEX",298
"AT13","2013","MALE","NIC",29
"AT13","2013","MALE","PAN",12
"AT13","2013","MALE","PER",284
"AT13","2013","MALE","PRY",31
"AT13","2013","MALE","SLV",16
"AT13","2013","MALE","URY",55
"AT13","2013","MALE","VEN",168
"AT13","2013","FEMALE","ARG",315
"AT13","2013","FEMALE","BOL",143
"AT13","2013","FEMALE","BRA",966
"AT13","2013","FEMALE","CHL",368
"AT13","2013","FEMALE","COL",498
"AT13","2013","FEMALE","CRI",38
"AT13","2013","FEMALE","CUB",244
"AT13","2013","FEMALE","DOM",314
"AT13","2013","FEMALE","ECU",180
"AT13","2013","FEMALE","GTM",61
"AT13","2013","FEMALE","HND",19
"AT13","2013","FEMALE","HTI",23
"AT13","2013","FEMALE","MEX",378
"AT13","2013","FEMALE","NIC",52
"AT13","2013","FEMALE","PAN",10
"AT13","2013","FEMALE","PER",535
"AT13","2013","FEMALE","PRY",50
"AT13","2013","FEMALE","SLV",30
"AT13","2013","FEMALE","URY",66
"AT13","2013","FEMALE","VEN",242
"AT13","2014","MALE","ARG",343
"AT13","2014","MALE","BOL",111
"AT13","2014","MALE","BRA",588
"AT13","2014","MALE","CHL",346
"AT13","2014","MALE","COL",403
"AT13","2014","MALE","CRI",32
"AT13","2014","MALE","CUB",157
"AT13","2014","MALE","DOM",182
"AT13","2014","MALE","ECU",135
"AT13","2014","MALE","GTM",85
"AT13","2014","MALE","HND",13
"AT13","2014","MALE","HTI",15
"AT13","2014","MALE","MEX",322
"AT13","2014","MALE","NIC",38
"AT13","2014","MALE","PAN",13
"AT13","2014","MALE","PER",292
"AT13","2014","MALE","PRY",30
"AT13","2014","MALE","SLV",21
"AT13","2014","MALE","URY",60
"AT13","2014","MALE","VEN",187
"AT13","2014","FEMALE","ARG",331
"AT13","2014","FEMALE","BOL",153
"AT13","2014","FEMALE","BRA",1000
"AT13","2014","FEMALE","CHL",372
"AT13","2014","FEMALE","COL",536
"AT13","2014","FEMALE","CRI",39
"AT13","2014","FEMALE","CUB",260
"AT13","2014","FEMALE","DOM",329
"AT13","2014","FEMALE","ECU",193
"AT13","2014","FEMALE","GTM",59
"AT13","2014","FEMALE","HND",23
"AT13","2014","FEMALE","HTI",21
"AT13","2014","FEMALE","MEX",407
"AT13","2014","FEMALE","NIC",59
"AT13","2014","FEMALE","PAN",10
"AT13","2014","FEMALE","PER",545
"AT13","2014","FEMALE","PRY",53
"AT13","2014","FEMALE","SLV",34
"AT13","2014","FEMALE","URY",69
"AT13","2014","FEMALE","VEN",260
"AT13","2015","MALE","ARG",365
"AT13","2015","MALE","BOL",112
"AT13","2015","MALE","BRA",639
"AT13","2015","MALE","CHL",345
"AT13","2015","MALE","COL",436
"AT13","2015","MALE","CRI",35
"AT13","2015","MALE","CUB",168
"AT13","2015","MALE","DOM",193
"AT13","2015","MALE","ECU",135
"AT13","2015","MALE","GTM",97
"AT13","2015","MALE","HND",14
"AT13","2015","MALE","HTI",17
"AT13","2015","MALE","MEX",334
"AT13","2015","MALE","NIC",40
"AT13","2015","MALE","PAN",12
"AT13","2015","MALE","PER",303
"AT13","2015","MALE","PRY",33
"AT13","2015","MALE","SLV",24
"AT13","2015","MALE","URY",64
"AT13","2015","MALE","VEN",189
"AT13","2015","FEMALE","ARG",339
"AT13","2015","FEMALE","BOL",151
"AT13","2015","FEMALE","BRA",1049
"AT13","2015","FEMALE","CHL",376
"AT13","2015","FEMALE","COL",548
"AT13","2015","FEMALE","CRI",46
"AT13","2015","FEMALE","CUB",266
"AT13","2015","FEMALE","DOM",343
"AT13","2015","FEMALE","ECU",192
"AT13","2015","FEMALE","GTM",60
"AT13","2015","FEMALE","HND",23
"AT13","2015","FEMALE","HTI",22
"AT13","2015","FEMALE","MEX",416
"AT13","2015","FEMALE","NIC",62
"AT13","2015","FEMALE","PAN",11
"AT13","2015","FEMALE","PER",557
"AT13","2015","FEMALE","PRY",57
"AT13","2015","FEMALE","SLV",31
"AT13","2015","FEMALE","URY",71
"AT13","2015","FEMALE","VEN",269
"AT13","2016","MALE","ARG",380
"AT13","2016","MALE","BOL",116
"AT13","2016","MALE","BRA",678
"AT13","2016","MALE","CHL",354
"AT13","2016","MALE","COL",458
"AT13","2016","MALE","CRI",36
"AT13","2016","MALE","CUB",177
"AT13","2016","MALE","DOM",203
